74.322,FPVFPVINEEDTOGETFASTER,Norway,MadLite,2022/03/08
132.384,Jaumecort,Spain,Five33Switchback,2022/03/08
133.319,Lucky22,UnitedStates,Five33Switchback,2022/03/11
134.251,TonyRey,Spain,TBSSpec,2022/06/29
135.606,Brombeer,Netherlands,SniperX,2022/03/06
137.072,=AJ=,Germany,Five33Switchback,2022/03/13
138.114,JRodRC,Canada,Chief,2022/03/07
139.873,HERCULESFPV,Bulgaria,Five33Switchback,2022/03/08
140.017,DMurk,UnitedStates,Five33Switchback,2022/03/07
141.470,Bumba,Switzerland,HX115,2022/06/06
142.600,bberg,UnitedStates,Velocity,2022/03/22
143.291,OscarFpv,Spain,Five33Switchback,2022/06/28
143.905,kimtendo⁶⁴,Germany,SniperX,2022/03/18
144.207,limmo,Germany,Five33Switchback,2022/03/09
144.636,TIMA_FPV,Kazakhstan,Five33Switchback,2022/03/08
145.617,tillyFPV,UnitedStates,Yakuza,2022/03/17
145.958,DragonFlyte,UnitedStates,SniperX,2022/03/08
148.981,Barnyard,UnitedStates,Five33Switchback,2022/06/07
149.090,TrancosH,Spain,Mode2Ghost,2022/06/25
150.636,BlueArseFly,NewZealand,TwigXL3,2022/03/10
150.654,NNFNoFlyNoLife,Thailand,Five33Switchback,2022/03/08
153.748,NoahLikeTheArk,UnitedStates,TBSSpec,2022/03/07
154.126,yrrbay,UnitedKingdom,TBSOblivion,2022/03/06
154.545,FreakoutFPV,Switzerland,Five33Switchback,2022/03/08
154.902,FPphil,Switzerland,TBSSpec,2022/03/15
155.282,Shubu,UnitedStates,TwigXL3,2022/03/22
159.191,georgemca,UnitedStates,Five33Switchback,2022/03/06
159.831,qLuisp,Germany,Five33Switchback,2022/03/10
161.015,gwesh,UnitedKingdom,TBSSpec,2022/03/11
161.218,steinm,Canada,LilBastard,2022/03/12
162.758,SilkJamFPV,UnitedStates,Five33Switchback,2022/03/11
162.956,OnTheFenceFPV,UnitedStates,TwigXL3,2022/03/16
164.036,JayTeeBee,UnitedStates,Five33Switchback,2022/06/07
166.954,RAFAFPV,Spain,SingularitumV5,2022/06/28
167.940,JFP3,RussianFederation,Five33Switchback,2022/03/16
170.648,TheRedIguana,UnitedStates,Five33Switchback,2022/03/08
171.079,ROBO__FPV,Poland,TBSSpec,2022/03/08
174.228,NumbNut,UnitedKingdom,TBSSpec,2022/03/08
176.959,Wyldeone,UnitedKingdom,PandaCavity,2022/03/12
177.843,firebirdfpv,Korea,Five33Switchback,2022/04/09
178.052,Remzoune,Canada,Five33Switchback,2022/03/17
181.508,PEZ_FPV,UnitedStates,TBSSourceOne,2022/03/09
182.675,Tdexpman34,France,SniperX,2022/06/17
182.677,SteezyFPV,Australia,TwigXL3,2022/03/17
185.745,PomBley,Spain,HX115,2022/06/06
189.687,Andybob69,UnitedStates,DiatoneGTB339,2022/03/08
191.805,ClkFpv,Turkey,TBSSpec,2022/03/17
193.947,kod1ak,UnitedStates,TwigXL3,2022/03/22
194.135,Bree,France,Five33Switchback,2022/03/16
197.030,TakaNii,Japan,SkyXKiller,2022/03/13
198.463,Käpt´nBaluFPV,Germany,TwigXL3,2022/03/09
203.522,intent2bhuman,UnitedStates,Ossa,2022/03/19
205.317,edschmee,UnitedStates,Five33Switchback,2022/03/19
206.619,MIRASPEN,UnitedStates,Mode2Ghost,2022/06/07
206.866,Annas2V2,Unknown,Yakuza,2022/06/10
209.055,JFP2,RussianFederation,Five33SwitchbackExp,2022/03/16
214.831,WargFpv,UnitedStates,Five33Switchback,2022/03/18
218.091,CtrlAltFred,SouthAfrica,Five33Switchback,2022/03/10
223.988,PWR_UP_PROS,UnitedStates,Five33Switchback,2022/03/10
225.991,SpencerDfpv,UnitedStates,TBSSpec,2022/03/06
228.610,Tesch408,UnitedStates,TBSSpec,2022/03/11
229.604,JFP4,RussianFederation,Five33Switchback,2022/03/15
233.283,CaptainColin,UnitedStates,TBSSpec,2022/03/17
236.813,JustRipFPV,Germany,TBSSpec,2022/03/10
244.974,kenbou,Japan,Five33Switchback,2022/06/10
249.121,BlackBoxMind,Switzerland,LilBastard,2022/03/17
252.254,PhilippeAlmeras,Canada,Five33Switchback,2022/03/17
252.779,GuGa9,Brazil,Five33Switchback,2022/04/11
258.975,EilracSmada,UnitedStates,LilBastard,2022/03/15
259.272,IgresIX,Spain,FPVCycleGlide,2022/06/28
262.127,Frequency_Fpv,UnitedStates,Five33Switchback,2022/03/18
265.617,Ucangoz,Turkey,SkyXKiller,2022/06/24
271.581,alansun212,China,Five33Switchback,2022/04/10
272.028,weims,UnitedStates,DiatoneGTB339,2022/03/29
279.653,Thorgal,France,KareareaTalon,2022/03/17
310.700,OKKO,Japan,Five33Switchback,2022/03/17
336.328,Machaon,France,Five33Switchback,2022/03/08
343.941,AnnaShevchuk,RussianFederation,ArmattanChameleon,2022/03/30
344.141,AridThorn,UnitedStates,NazgulXL5,2022/03/18
347.580,simong,Slovenia,LilBastard,2022/03/13
359.047,BudgieFPV,Australia,Five33Switchback,2022/03/14
799.783,BeavisWu,HongKong,SpeedAddict210R,2022/04/05
